algo_name,total_cities,optimal_distance
AntColonyOptimization,345,21704.91120395233
NearestNeighbor,346,22675.62557043718
AntColonyOptimization,346,21633.94111894202
NearestNeighbor,347,22675.62557043718
AntColonyOptimization,347,21750.88875627697
NearestNeighbor,348,22675.62557043718
AntColonyOptimization,348,21376.20870797791
NearestNeighbor,349,22675.62557043718
AntColonyOptimization,349,21718.90736704785
NearestNeighbor,350,22675.62557043718
AntColonyOptimization,350,21505.863101613348
NearestNeighbor,351,22675.62557043718
AntColonyOptimization,351,21112.318774191495
NearestNeighbor,352,22675.62557043718
AntColonyOptimization,352,21668.64095319552
NearestNeighbor,353,22675.62557043718
AntColonyOptimization,353,21515.2012929269
NearestNeighbor,354,22675.62557043718
AntColonyOptimization,354,21225.80725002634
NearestNeighbor,355,22675.62557043718
AntColonyOptimization,355,22153.045296117663
NearestNeighbor,356,22675.62557043718
AntColonyOptimization,356,21985.159381618585
NearestNeighbor,357,22675.62557043718
AntColonyOptimization,357,21798.16628805548
NearestNeighbor,358,22675.62557043718
AntColonyOptimization,358,21705.81845835971
NearestNeighbor,359,22675.62557043718
AntColonyOptimization,359,21458.755709187597
